Eesnimi,First name,
Perekonnanimi,Last name,
Pilt,Image,
Vali,Browse,
Ametikoht,Job Position,
Puudub,None,
Arendusjuht,Development Manager,
Direktor,Headmaster,
Ajalugu,History,
Matemaatika,Mathematics,
Õppenõustaja,Study counselor,
Telefoninumber,Phone Nr.,
Keel,Language,
Neutraalne,Language neutral,
Eesti,Estonian,
Inglise,English,
Vene,Russian,
E-mail,E-Mail,
Kontakt CV,Contact CV,
VASTUVÕTUAJAD,RECEPTION TIMES,
Osakonnad,Departments,
"Ühtegi osakonda pole veel lisatud.
Vali osakonna tüüp ja kliki nupul, et 
lisada üks.","No Departments added yet. 
Select a Department type and press the button below to add one.",
Lisa uus osakond,Add new Department,
Osakonna tüüp: Kontakt osakond,Department type: Contact Department,
Osakond,Department,
Töötajad,Employees,
Juhtkond,Management,
Juhatus,Managing Board,
Õpetajad,Teachers,
Osakonna kaal,Department weight,
Sulge,Collapse,
Eemalda,Remove,
Lisa veel üks osakond,Add another Department,
Menüü seaded,Menu settings,
Ei ole menüüs,Not in menu,
Esitage menüü link,Provide a menu link,
Redigeerimisinfo,Revision information,
Versioone pole,No revision,
Lisa uus versioon,Create new revision,
Läbivaatamislogi sõnum,Revision log message,
"Esitage selgitused tehtud muudatustest. See aitab 
teistel autoritel paremini mõista teie motivatsiooni.","Provide an explanation of the changes you are making. 
This will help other authors understand your motivations.",
Kommentaari seaded,Comment settings,
Avatud,Open,
Suletud,Closed,
"Kasutajatel, kellel on kommenteerimise õigus, saavad 
postitada kommentaare.","Users with the ""Post comments"" permission can post comments.",
Kasutajad ei saa kommenteerida.,Users cannot post comments.,
URL'i tee seaded,URL path settings,
Pseudonüümi pole,No alias,
URL'i alias,URL alias,
"Võimalikult täpne alternatiivne URL, mille kaudu 
pääseb selle sisu juurde. Näiteks sisestage ""meist"", 
kui sisestate vastavasisulist lehte. Kasutage suhtelist 
teekonda ja ärge lisage kaldkriipsu, muidu URL alias 
ei toimi.","Optionally specify an alternative URL by which this content can be accessed. 
For example, type ""about"" when writing an about page. 
Use a relative path and don't add a trailing slash or the URL alias won't work.",
Autoriteave,Authoring information,
Autor: ,Authored by,
"Jäta tühjaks, kui soovid postitada anonüümselt.",Leave blank for Anonymous.,
Autor on,Authored on,
"Formaat: 2017-11-13 09:25:40 +0200.
Ajaformaat on YYYY-MM-DD ja +0200 on ajatsoon 
UTC järgi. Vormi sisestamise aja jaoks jätke tühjaks.","Format: 2017-11-13 09:25:40 +0200. 
The date format is YYYY-MM-DD and +0200 is the time zone offset from UTC. 
Leave blank to use the time of form submission.",
Avaldamise seaded,Publishing options,
"Avaldatud, Esilehel välja toodud","Published, Promoted to front page",
Avaldatud,Published,
Esilehel välja toodud,Promoted to front page,
,Sticky at top of lists,
Näita ridade kaalusid,Show row weights,
JÄRJESTA,ORDER,
Peida ridade kaalud,Hide row weights,
Salvesta,Save,
Eelvaade,Preview,
Loo,Create,
Avaleht,Home,
Lisa sisu,Add content,
Kontakt,Contact,
Toitlustus,Catering,
Toitlustusasutuse valik,Catering company selection,
See võimaldab valida toitlustusettevõtte,This allows to choose which catering company has this menu,
KUUPÄEV,DATE,
Kuupäev,Date,
"Näiteks, @date","E.g., @date",
kuni,to,
"Lõike pole veel lisatud. Vali lõigu tüüp ja vajuta nupule, 
et see valida.","No Paragraphs added yet. 
Select a Paragraph type and press a button below to add one.",
Lisa toit,Add Food,
Lõigu tüüp: Toit,Paragraph type: Food,
Toidu nimi,Food name,
Toidu tüüp,Food type,
Lihtlehekülg,Basic page,
Pealkiri,Title,
Kokkuvõte,Summary,
Peida kokkuvõte,Hide summary,
Lähtekood,Source,
"Jätke tühjaks, et kasutada kohendatud täis teksti.",Leave blank to use trimmed value of full text as the summary.,
Sisu,Body,
Pöörduge tavalisse tekstitöötlusesse,Switch to plain text editor,
Tekstiformaat,Text format,
"Veebilehtede aadressid ja e-posti aadressid muutuvad 
linkideks automaatselt.",Web page addresses and e-mail addresses turn into links automatically.,
Lubatud HTML märgendid: @tags,Allowed HTML tags: @tags,
Read ja lõigud lõikuvad automaatselt.,Lines and paragraphs break automatically.,
Sisulehe tüüp,Content page type,
Lihtne,Simple,
,Tabbed,
Teenus,Service,
Kontaktid,Contacts,
Erialad,Specialities,
Sisu lehe stiil,Content page style,
Ruudustiku vaade,Grid,
Logo,Logo,
Nimi,Name,
Tüüp,Type,
Vali väärtus,Select a value,
Link,Link,
Veebivorm,Webform,
Kooli valikud,School selections,
Õppevaldkonnad,Areas of study,
Õppesuund,Subject field,
Ettevalmistavad kursused,Preparatory courses,
Valikained,Elective subjects,
Huviringid,Hobby Groups,
Eriala,Speciality,
Valikaine kursused,Elective courses,
Huvitegevus,Hobby activity,
E-kursus,E-Course,
Muuda kokkuvõtet,Edit summary,
Peida kokkuvõte,Hide summary,
Õpikud,Textbooks,
PILDID,PICTURES,
Lisa fail,Attach media,
Lisa kontakte,Add Contacts,
Palun oota,Please wait,
Kontakti pealkiri,Contact title,
Veebisait,Website,
E-mail,Email,
Telefoninumber,Phone number,
Aadress,Address,
kontakti tüüp: Kontaktid,contact type: Contacts,
Töölaud,Dashboard,
Tunnustused,Awards,
Koostööpartnerid,Partners,
Avaleht,Homepage,
Muuda,Edit,
,,
Filtreeri,Filter,
Kõik,All,
Juhatus,Managing board,
